exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs10195252	-0.03	0.055	0.585440934568927
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs10245353	0	0.0666666666666667	1
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs10783615	-0.0371428571428571	0.0571428571428571	0.51569222161173
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs10842707	-0.0481481481481481	0.062962962962963	0.444446702634924
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs1106529	0.075	0.0428571428571429	0.0801183137276341
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs1128249	-0.0285714285714286	0.0523809523809524	0.585440934568927
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs12679556	-0.0291666666666667	0.05	0.559668927199412
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs1294410	-0.008	0.044	0.855725415320072
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs1358980	0.0407407407407407	0.0407407407407407	0.317310507862914
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs1440372	0.0142857142857143	0.0571428571428571	0.802587348634153
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs1443512	-0.0692307692307692	0.0461538461538461	0.133614402537716
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs1569135	0.0833333333333333	0.0458333333333333	0.0690363479944153
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs17451107	-0.0869565217391304	0.0478260869565217	0.0690363479944153
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs1936805	-0.0315789473684211	0.0289473684210526	0.275312886521963
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs2071449	0.044	0.076	0.562624686915214
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs2294239	-0.045	0.055	0.41325337549364
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs2371767	-0.00869565217391304	0.0826086956521739	0.916166996259808
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs2645294	0.0565217391304348	0.0478260869565217	0.237277851868278
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs2820443	0.0423076923076923	0.0461538461538461	0.359317338329571
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs3902751	-0.0565217391304348	0.0521739130434783	0.278660494899244
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs4081724	-0.0678571428571429	0.0785714285714286	0.3877876816066
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs459193	-0.0730769230769231	0.0615384615384615	0.235030456586428
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs714515	-0.115789473684211	0.0578947368421053	0.0455002638963584
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs7801581	0.0565217391304348	0.0521739130434783	0.278660494899244
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	rs998584	-0.00689655172413793	0.0517241379310345	0.893929766752772
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	All - Inverse variance weighted	-0.00915028928292134	0.0107272552407076	0.393662376860078
Shungin WHR EU sex combined 26 SNPs	Glutamine || id:303	Shungin WHR EU sex combined 26 SNPs	303	7372	All - MR Egger	0.0119453267082641	0.0629174433383538	0.851086698715229
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs10195252	0.14	0.045	0.00186384793502995
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs10245353	-0.00740740740740741	0.0592592592592593	0.900523550339774
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs10783615	0.0914285714285714	0.0485714285714286	0.0597881108264642
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs10842707	0.037037037037037	0.0555555555555556	0.504985075093846
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs1106529	-0.0571428571428571	0.0535714285714286	0.286122384391018
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs1128249	0.133333333333333	0.0428571428571429	0.00186384793502994
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs12679556	-0.0166666666666667	0.0625	0.78972582092805
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs1294410	-0.076	0.056	0.174735823215247
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs1358980	0.0703703703703704	0.0518518518518519	0.174735823215247
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs1440372	-0.0761904761904762	0.0714285714285714	0.286122384391018
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs1443512	0.0730769230769231	0.0576923076923077	0.205274503664272
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs1569135	0.00833333333333333	0.0375	0.824140895741885
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs17451107	0.0304347826086957	0.0608695652173913	0.617075077451974
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs1936805	0.0315789473684211	0.0236842105263158	0.182422439451736
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs2071449	-0.012	0.088	0.891533819083154
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs2294239	-0.015	0.045	0.738882680363527
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs2371767	0.0304347826086957	0.0956521739130435	0.750347023651697
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs2645294	-0.0565217391304348	0.0391304347826087	0.148613996455212
Shungin WHR EU sex combined 26 SNPs	Tryptophan || id:304	Shungin WHR EU sex combined 26 SNPs	304	7355	rs2820443	0.0115384615384615	0.0576923076923077	0.841480581121794
