SNP	median_b
rs1000096	0.352941176470588
rs1000940	0.767932636267158
rs1003081	0.822175892276501
rs10035289	0.646553233203795
rs10037047	0.48667104107121
rs1006353	0.479447784457805
rs10066835	0.521973878014587
rs10083803	1.19010089676115
rs10110727	0.618376962460241
rs10118701	0.446533402134326
rs10131890	0.651787235222577
rs10132280	0.6083482231487
rs1014194	0.524453789194625
rs10146527	0.326261898557611
rs1015362	0.299926959204417
rs1015363	0.154972547803678
rs10168197	0.509233722392604
rs10182181	0.354068058302628
rs10190332	0.313851104945373
rs10203277	0.442884377705167
rs1020548	0.554310276627726
rs10211055	0.478830932179261
rs10268050	1.5405776193709
rs10269783	0.519454983723792
rs10275044	0.500496453900709
rs1035010	0.533517106717779
rs1037587	0.610129379895753
rs1038088	1.01430388538163
rs10408013	0.617867867867868
rs1040881	1.00188880676686
rs10438964	0.529596339502631
rs1045411	0.381626639547315
rs10456637	0.305429286480413
rs10459012	0.651474627728784
rs10460960	0.869343906555576
rs10467530	0.477547924784894
rs1048365	0.923965284741192
rs1048932	0.333168428703178
rs10499276	1.55695263801386
rs10500548	0.594676309900704
rs10510321	0.92769661376175
rs10511093	0.338675983953561
rs10515050	0.841688196506382
rs10519151	0.573622491216406
rs1057452	0.835100913657863
rs10733051	0.825054531545595
rs10744146	0.24534154593306
rs10745785	0.776592058146664
rs10754210	0.492495196443358
rs1075901	0.577249308871576
rs10769165	0.943833504150393
rs10772055	0.570837642192347
rs10773049	1.58804057454799
rs10779751	0.9756971569042
rs10797115	0.742379754503159
rs10818810	1.55955026922469
rs10818938	0.450522599678023
rs10830452	0.652117813026873
rs10838122	0.63754768602366
rs10838852	0.106756176397459
rs10839472	0.241192256037935
rs10840606	0.844552258539221
rs10840674	1.28001369480408
rs10842240	0.229905909694881
rs10850031	0.27912147140066
rs10865858	0.485709985136127
rs10867256	0.911343219734778
rs10876418	0.513555621502459
rs10878946	0.359415387343395
rs10883553	0.80770156024469
rs10883759	0.688168821874948
rs10886017	0.694384846441488
rs10915840	0.520096989992971
rs10920678	0.582331773324493
rs10923724	0.681792319879555
rs10929925	0.748733239604072
rs10930641	0.311121653502923
rs10935143	1.07284529390552
rs10938397	0.133778143375072
rs10953620	1.29865919693647
rs10955841	0.655592422437752
rs10962549	0.891353684221984
rs10971712	0.529702287338245
rs10989568	0.795424644388379
rs11030385	0.203066060796311
rs11039014	0.430796258182821
rs11066301	0.727048625656559
rs1106908	0.491383788567727
rs11074446	0.192988682837115
rs11075489	0.516083966834189
rs11075986	0.517410809656056
rs11079849	0.438783254639362
rs11115176	0.46710372278155
rs11118308	0.778949462793474
rs11128760	0.702496236938042
rs11150911	0.48290595206305
rs11172702	0.212813192791993
rs11190661	0.224464365115526
rs11208662	0.644621834805884
rs11250076	0.113556409282517
rs11251352	0.756184527405945
rs11259933	0.858957834652918
rs11496125	0.429737329401276
rs11577179	0.76707391902073
rs1158103	0.621891919819181
rs11583122	0.807996162581704
rs11590474	0.282092873909385
rs11600990	0.759450057975816
rs11611246	0.185842456819889
rs11611496	0.563469220900939
rs11629783	0.710899211591732
rs11635675	0.515191854083468
rs11642001	0.814807155413091
rs11659764	0.642737431083736
rs11668301	0.376241930314546
rs11672660	0.286103542234332
rs11711337	0.621466517723904
rs11736228	0.615395975026458
rs11753081	0.772067140207212
rs11756653	0.714291886660387
rs11773362	0.949077808248642
rs1178060	0.178132231721078
rs11781222	0.538461538461539
rs11781699	0.416391229131211
rs11783247	0.0826511317314243
rs11790280	0.542699624598756
rs11792069	0.680817432539235
rs11803119	0.383083078483529
rs11844682	0.6010944783855
rs11855853	0.326381622174093
rs11866815	0.669237380659249
rs11889536	0.656800457354892
rs11915371	0.622166316487891
rs11929028	0.248001931360466
rs11945861	0.450142330584639
rs11971041	0.589524676438892
rs11987383	0.860834400570314
rs12033257	0.507306007161444
rs12035149	0.481087875671352
rs12035349	0.589018628674941
rs12039524	0.203000067707724
rs12041258	0.811917585128021
rs12042908	0.189263470793621
rs12042959	0.656170850587791
rs12044597	0.993359158826785
rs1205106	0.666273525972274
rs12098284	1.69245408697307
rs12101393	0.53524214072088
rs12147845	0.485727623058281
rs12148386	0.208269853511336
rs1218822	0.340658101573952
rs12189178	1.12206200432588
rs12207241	0.22968334355221
rs12215331	0.663778371482899
rs1229057	1.56966149083828
rs12306932	0.449282338752672
rs12327272	0.355163447117511
rs12364470	0.624356875584658
rs12369009	0.242702093067538
rs12411886	0.221137260461709
rs12417072	0.910014194116783
rs1241986	0.666970546044429
rs12420725	0.948226710363465
rs12422552	0.79313711814758
rs12429545	0.500068226178681
rs12439798	0.317239988833401
rs12443621	0.49915491991043
rs12446632	0.430626148376166
rs12448257	0.574847542396981
rs12448738	0.942458063222616
rs12453418	0.722928065214997
rs12458	0.204812499504805
rs12480713	0.420931383159652
rs12488237	0.828596170829368
rs12514473	0.415977791486737
rs12564992	0.361078992051835
rs12574668	0.619696184952675
rs12575252	0.803855041281279
rs12577642	0.402179167751292
rs12587412	0.640403699992018
rs12593036	0.494716217518389
rs12595158	0.50492882259244
rs12595749	0.508647473764218
rs12602912	0.73595542588896
rs12609744	0.453195928715122
rs12615778	0.485612653242711
rs12625413	1.51989475379907
rs12631248	0.246890882109604
rs12637576	0.345831230849111
rs12638746	0.208564662033622
rs12655756	0.876922206689239
rs12659802	0.697328880351777
rs12666574	0.754365290261956
rs1266922	0.274621452304258
rs12675063	1.30576831399968
rs12680842	0.476140470627357
rs12682565	0.397916491250483
rs12694021	0.478836777000263
rs12705987	0.219306368812716
rs12713433	0.582818542002216
rs12731372	0.557495306169505
rs12776880	0.770379653393533
rs1285245	0.461127856264839
rs12885454	1.07359035790794
rs12888545	0.394654647992574
rs12902742	0.566989775594211
rs12920590	0.115461713927187
rs12922346	0.487748401875574
rs12939549	0.428849902534113
rs1296328	0.497787461835398
rs12964689	0.220110777853187
rs13021737	0.253069259118911
rs13041173	0.112587134782121
rs13045538	0.677128864079204
rs13072095	0.680327002699405
rs13085472	0.822607365872308
rs13095652	1.18657913275477
rs13107325	0.854831272456724
rs13110266	0.720807641367938
rs13163306	0.61516822741237
rs13174863	0.546261089987326
rs13175892	0.280515899140936
rs13191362	0.555482899089857
rs13201877	0.609719370294319
rs13203153	0.555216556295644
rs13203286	0.558275965279856
rs13207082	0.177235322591799
rs1320903	0.581896821914374
rs13209753	0.93563286962967
rs13209872	0.416031194478074
rs13227433	0.846174492949119
rs13227658	0.322140878416076
rs1323068	0.43993466469428
rs13240600	0.364732885432057
rs13247665	0.635108645785544
rs13263601	0.89524818351843
rs13290794	1.17421815290312
rs13292976	1.10730983097111
rs13321566	0.651280858814866
rs13329567	0.291538526648421
rs1333423	1.00292519849561
rs13417156	0.782173140806028
rs13432055	0.693716197463075
rs1345148	0.577360326459287
rs1358808	0.170266135227952
rs1362910	0.537004872400356
rs1365466	0.824858912028307
rs1371108	0.507859348286509
rs1375561	0.41071155317521
rs1394	0.162501664976076
rs1399054	0.368271824915146
rs1403846	1.38986751352156
rs1405348	0.61649580961006
rs1412235	0.412750180760888
rs1423627	0.199631253380047
rs1431659	0.451242324228505
rs143384	0.633403223692832
rs1436343	0.433332791125136
rs1437929	0.724626708727655
rs1451533	0.785766874574576
rs1452075	0.272937753124934
rs1452134	0.599321116038143
rs1454148	0.781203907754776
rs1455137	0.756948874510161
rs1473579	0.0900780171183192
rs1475774	0.243494327295671
rs1477887	0.488194498558404
rs1492767	0.488255681224303
rs1498139	0.866165138453799
rs1503139	0.435806831566549
rs150353	0.471411922745025
rs1512065	0.490347810466096
rs1522569	1.08158136518402
rs1544459	0.383782170400824
rs1549293	1.22164078808155
rs1552717	0.79153596075971
rs1558236	0.348011960230268
rs156151	1.10355978186402
rs1564981	0.335322333247626
rs159032	0.519290249063975
rs1593304	0.612704072496827
rs1594830	0.676731452723256
rs1600136	0.31827159800425
rs160401	0.516661757211055
rs1608445	0.656556920179131
rs1625427	0.47394248553189
rs1650586	0.964838028835712
rs1657930	0.394964776533087
rs1658820	0.58178104911112
rs1668633	1.51985440711137
rs16823670	1.0727438657355
rs16828086	0.48811215307379
rs16851483	0.531839952840616
