SNP	median_b
rs1000096	0.385705322128852
rs1000940	0.442943944745038
rs1003081	0.799097203626487
rs10035289	0.274518607989357
rs10037047	0.16992014858147
rs1006353	0.472816744600312
rs10066835	0.26564745967241
rs10083803	0.532347519435762
rs10110727	0.538228640438162
rs10118701	0.350341387536551
rs10131890	0.560405104009444
rs10132280	0.295446694460988
rs1014194	0.502789103208703
rs10146527	0.557682904397677
rs1015362	0.353629565688192
rs1015363	0.16420420806922
rs10168197	0.656373879340144
rs10182181	0.163712001504211
rs10190332	0.493860203168588
rs10203277	0.472390654944483
rs1020548	0.415707655388834
rs10211055	0.809094015147201
rs10268050	0.635348778004073
rs10269783	0.598573738138759
rs10275044	0.431047872340426
rs1035010	0.418304834101449
rs1037587	0.378571149163383
rs1038088	0.488286499098691
rs10408013	0.919868618618618
rs1040881	0.587973684450649
rs10438964	0.34383318104871
rs1045411	0.441522595113301
rs10456637	0.157826915665672
rs10459012	0.170312454821455
rs10460960	0.263452728587885
rs10467530	0.310967387608861
rs1048365	0.462220877563016
rs1048932	0.243371139246691
rs10499276	0.599297821308551
rs10500548	0.335851280378255
rs10510321	0.60266668284554
rs10511093	0.342111733496016
rs10515050	0.640313018162187
rs10519151	0.236646329141978
rs1057452	0.390732688974411
rs10733051	0.519186316975592
rs10744146	0.287243572184754
rs10745785	0.418724842948918
rs10754210	0.161854534637864
rs1075901	0.571481528022116
rs10769165	0.229803883548932
rs10772055	0.347489945995634
rs10773049	1.25921928839677
rs10779751	0.488106943976607
rs10797115	1.00071512102372
rs10818810	0.321654220643349
rs10818938	0.425369987496834
rs10830452	0.521953170698139
rs10832778	0.812262330737389
rs10838122	0.699100709028554
rs10838852	0.073160642842612
rs10839472	0.214315225573782
rs10840606	0.296998195008105
rs10840674	0.49650782495878
rs10842240	0.426014326830201
rs10850031	0.21045621954232
rs10865858	0.619406762121583
rs10867256	0.37431199201483
rs10876418	0.315832202814991
rs10878946	0.274063098883562
rs10883553	0.551360059110592
rs10883759	0.504780568176145
rs10886017	0.353014466989518
rs10915840	0.28983342679546
rs10920678	0.467719404407079
rs10923724	0.321166285899355
rs10929925	0.618100755810113
rs10930641	0.447713868089035
rs10935143	0.426881235725448
rs10938397	0.133087469152729
rs10953620	0.846236177875483
rs10955841	0.578595229992627
rs10962549	0.273495588947607
rs10971712	0.491848908754794
rs10989568	0.396231058554027
rs11030385	0.27605534141961
rs11039014	0.313203434059769
rs11066301	1.16719298810943
rs1106908	0.464264687962957
rs11074446	0.189556025199442
rs11075489	0.470539488723987
rs11075986	0.293330156278244
rs11079849	0.390910006783577
rs11115176	0.220641243268555
rs11118308	1.08448070035814
rs11128760	0.522902038578998
rs11150911	0.234353370814899
rs11172702	0.264602687212134
rs11190661	0.552377763261183
rs11208662	0.502851931686288
rs11231548	0.433082249297283
rs11250076	0.203960231128933
rs11251352	0.518574856821915
rs11259933	0.460558598784754
rs11496125	0.264969480831219
rs11577179	0.428159442015083
rs1158103	0.668155100787823
rs11583122	0.608329047060387
rs11590474	0.125541985916116
rs11600990	0.419927778698029
rs11611246	0.359182641002332
rs11611496	0.339669509382291
rs11629783	0.214682772213936
rs11635675	0.479598425932413
rs11642001	0.307706426031832
rs11659764	0.323077150138243
rs11668301	0.299684366558308
rs11672660	0.319912445489984
rs11711337	0.439115382319584
rs11736228	0.784122029059226
rs11753081	0.611047896967229
rs11756653	0.391504713842538
rs11773362	0.484395332580524
rs1178060	0.0709786371373382
rs11781222	0.503973283427981
rs11781699	0.479383676282366
rs11783247	0.169355563999541
rs11790280	0.669220725050325
rs11792069	0.345927116471518
rs11803119	0.268076466854209
rs11844682	0.472527530860623
rs11855853	0.128420898936559
rs11866815	0.339767474273503
rs11889536	0.291148996300171
rs11915371	0.604345211766007
rs11929028	0.0814749494923826
rs11945861	0.328876672471796
rs11971041	0.45181555185871
rs11987383	0.301750058356308
rs12033257	0.725333422295369
rs12035149	0.364728158051778
rs12035349	0.204229027441189
rs12039524	0.190272862128608
rs12041258	0.516036301467061
rs12042908	0.306612720581297
rs12042959	0.699214454905007
rs12044597	0.658717641271598
rs1205106	0.63464002638707
rs12098284	0.696450661337901
rs12101393	0.345834597546704
rs12147845	0.177086975090382
rs12148386	0.0832453196546138
rs1218822	0.350918967678603
rs12189178	0.398073179524153
rs12207241	0.153697141450179
rs12215331	0.203172310876838
rs1229057	0.260677642418493
rs12306932	0.336297406274425
rs12327272	0.121261972155186
rs12364470	0.911780869971936
rs12369009	0.158837803133498
rs12411886	0.317594988303679
rs12417072	0.307960941706231
rs1241986	0.318718746229438
rs12420725	1.04699414543246
rs12422552	0.419665922722835
rs12429545	0.277303375119396
rs12439798	0.551753698936071
rs12443621	0.81867584100483
rs12446632	0.313281492352113
rs12448257	0.232006617404768
rs12448738	0.594469023591526
rs12453418	0.71892786325414
rs12458	0.370561867636456
rs12480713	0.224209932279909
rs12488237	0.651501316116642
rs12514473	0.378135718692165
rs12564992	0.277714407741909
rs12574668	0.261361903027337
rs12575252	0.465992119317856
rs12577642	0.513401323863003
rs12587412	0.312832906161037
rs12593036	0.470883628304372
rs12595158	0.374475310806343
rs12595749	0.424752643580067
rs12602912	0.636069493495953
rs12609744	0.295922732337699
rs12615778	0.501711871943086
rs12625413	0.322315147935349
rs12631248	0.135956001768509
rs12637576	0.155533007174042
rs12638746	0.233091586753116
rs12655756	0.550835952840785
rs12659802	0.587488371159136
rs12666574	0.586580246628309
rs1266922	0.240507773860552
rs12675063	0.223074527252503
rs12680842	0.579986961049416
rs12682565	0.519036406237751
rs12694021	0.50650225306329
rs12705987	0.229830747531735
rs12713433	0.762645517747559
rs12731372	0.774249810599822
rs12776880	0.449318031604879
rs1285245	0.267614124303299
rs12885454	0.274607422435482
rs12888545	0.397181079929243
rs12902742	0.886032968492137
rs12920590	0.131809529379862
rs12922346	0.988562969823772
rs12939549	0.220827050155087
rs1296328	0.504750568265881
rs12964689	0.484668432690413
rs13021737	0.144884791699503
rs13041173	0.0801739756263105
rs13045538	0.188650572135748
rs13047416	0.398403432449295
rs13072095	1.20136026974841
rs13085472	0.471625644013181
rs13095652	0.417335536669814
rs13107325	0.315505692563692
rs13110266	0.455178447693644
rs13163306	0.602562275604249
rs13174863	0.32255690747782
rs13175892	0.122543080945181
rs13191362	0.349874062126122
rs13201877	0.692737850787132
rs13203153	0.321463577562674
rs13203286	0.207829691709069
rs13207082	0.134572297904709
rs1320903	0.461117031279383
rs13209753	0.353603872332348
rs13209872	0.768137293438782
rs13227433	0.509313081121259
rs13227658	0.118961677849418
rs1323068	0.585533777120316
rs13240600	0.397722394134537
rs13247665	0.65688618259165
rs13263601	0.506166934242539
rs13290794	0.249725166559873
